Name,Lat,Lon,Region,Trend_code,Count_Date,Count_Season,Count_Type,Count,Accuracy,Data_Source,Pop_Estimate,Comments
Alcock Island,-64.24,-61.127,1,0,1/24/1987,1986,N,42,3,Poncet data,42,
Anagram Islands,-65.209,-64.331,1,0,1/5/1971,1970,N,7,1,Unknown source cited in Poncet data,7,
Andresen Island site 1,-66.879,-66.649,1,0,1/22/2016,2015,N,3,1,ASI database,3,
Andresen Island site 2,-66.875,-66.711,1,0,1/16/2013,2012,N,24,1,Lynch et al 2013,24,
Armstrong Reef,-65.891944,-66.211667,1,0,1/8/2013,2012,N,136,1,ASI database,136,"Casanovas et al. 2015 (which reports on the same visit in the ASI database) lists 114, which is the result of a summing error - 136 is the correct count for that date."
Armstrong Reef,-65.891944,-66.211667,1,1,NA,1989,N,633,3,Harris et al. 2011,633,"The Harris et al. 2011 number of 633 comes from Poncet data for various locations in the island group: Olive Island, Lulu Island, Riquet Island, and Markham Island. The 60 pairs on Markham Island were surveyed not in the 1989 season with the others, but during the next season (1990)."
Astrolabe Island,-63.316,-58.683,1,0,1/18/1987,1986,N,154,3,Harris et al. 2011,154,"The ASI visited more recently (Nov 2015), and wasn't able to get a count, but C. Foley estimates that it is likely closer to 500, perhaps higher"
Atriceps Island,-60.783333,-45.15,0,0,NA,1988,N,524,UNK,Harris et al. 2011,524,
Avian Island,-67.7732,-68.8855,1,0,1/18/2017,2016,N,321,UNK,W. Fraser unpublished data,321,
Avian Island,-67.7732,-68.8855,1,1,1/16/1989,1988,N,670,1,Poncet data,670,
Avicenna Bay,-64.4566,-62.365,1,0,2/3/1987,1986,N,8,4,Poncet data,8,
Barcroft Islands area,-66.4575,-67.1397,1,0,NA,2012,N,292,1,Casanovas et al 2015,292,"Actually several sub-colonies located on small islets in the area (some of which have past counts as well), and several of these might be better if recorded separately, but we were unable to precisly match up older counts with current data at those smaller scales"
Barrientos Island (Aitcho Islands),-62.406389,-59.749167,1,0,12/21/2010,2010,N,1,1,Lynch et al 2013,1,
Bates Island,-65.820981,-65.630586,1,0,2/6/1986,1985,N,150,5,Poncet data,150,"Exact location is uncertain; the Poncet data say ""islet 0.5nm S of Bates Island"", but we could not pinpoint the likely place using satellite photos"
Beaver Rocks,-63.678333,-59.371667,1,0,1/18/1987,1986,N,36,3,Poncet data,36,
Bell Island,-64.2782,-61.9976,1,0,1/28/1986,1985,N,150,3,Poncet data,150,
Bell Point,-62.11044,-58.864746,1,0,2/1/1987,1986,A,20,UNK,Shuford and Spear 1988,13.33333333,
Beneden Head,-64.7671,-62.701,1,0,12/30/2015,2015,N,28,1,ASI database,28,
Beneden Head,-64.7671,-62.701,1,1,12/30/1989,1989,N,160,3,Poncet data,160,
